id,tanggal,roti_sisa,dropping,roti_id_id,toko_id_id
1767,12/28/2020,0,12,BKOR,78105
1819,12/31/2020,1,6,BKOR,78105
1871,1/4/2021,0,13,BKOR,78105
1923,1/7/2021,2,5,BKOR,78105
1975,1/11/2021,0,14,BKOR,78105
2027,1/14/2021,0,3,BKOR,78105
2079,1/18/2021,1,15,BKOR,78105
2131,1/21/2021,0,4,BKOR,78105
2183,1/25/2021,0,14,BKOR,78105
2235,1/28/2021,2,5,BKOR,78105
2287,2/1/2021,0,15,BKOR,78105
2339,2/4/2021,2,3,BKOR,78105
2391,2/8/2021,0,16,BKOR,78105
2443,2/11/2021,0,1,BKOR,78105
2495,2/15/2021,0,17,BKOR,78105
2547,2/18/2021,2,2,BKOR,78105
2599,2/22/2021,0,18,BKOR,78105
2651,2/25/2021,0,0,BKOR,78105
2703,3/1/2021,0,19,BKOR,78105
2755,3/4/2021,0,1,BKOR,78105
2807,3/8/2021,1,20,BKOR,78105
2859,3/11/2021,0,2,BKOR,78105
2911,3/15/2021,1,19,BKOR,78105
2963,3/18/2021,0,3,BKOR,78105
3015,3/22/2021,2,18,BKOR,78105
3067,3/25/2021,0,4,BKOR,78105
3119,3/29/2021,0,16,BKOR,78105
3171,4/1/2021,0,5,BKOR,78105
3223,4/5/2021,1,17,BKOR,78105
3275,4/8/2021,0,6,BKOR,78105
3327,4/12/2021,0,16,BKOR,78105
3379,4/15/2021,1,7,BKOR,78105
3431,4/19/2021,0,17,BKOR,78105
3483,4/22/2021,1,6,BKOR,78105
3535,4/26/2021,0,18,BKOR,78105
3587,4/29/2021,2,5,BKOR,78105
3639,5/3/2021,0,19,BKOR,78105
3691,5/6/2021,0,3,BKOR,78105
3743,5/10/2021,0,20,BKOR,78105
3795,5/13/2021,1,4,BKOR,78105
3847,5/17/2021,0,21,BKOR,78105
3899,5/20/2021,1,3,BKOR,78105
3951,5/24/2021,0,22,BKOR,78105
4003,5/27/2021,0,2,BKOR,78105
4055,5/31/2021,2,23,BKOR,78105
4107,6/3/2021,0,3,BKOR,78105
4159,6/7/2021,1,21,BKOR,78105
4211,6/10/2021,0,4,BKOR,78105
4263,6/14/2021,1,20,BKOR,78105
4315,6/17/2021,0,5,BKOR,78105
4367,6/21/2021,0,19,BKOR,78105
4419,6/24/2021,2,6,BKOR,78105
4471,6/28/2021,0,20,BKOR,78105
4523,7/1/2021,0,4,BKOR,78105
4575,7/5/2021,1,21,BKOR,78105
4627,7/8/2021,0,5,BKOR,78105
4679,7/12/2021,0,20,BKOR,78105
4731,7/15/2021,1,6,BKOR,78105
4783,7/19/2021,0,21,BKOR,78105
4835,7/22/2021,1,5,BKOR,78105
4887,7/26/2021,0,22,BKOR,78105
4939,7/29/2021,0,4,BKOR,78105
4991,8/2/2021,0,23,BKOR,78105
5043,8/5/2021,2,5,BKOR,78105
5095,8/9/2021,0,24,BKOR,78105
5147,8/12/2021,0,3,BKOR,78105
5199,8/16/2021,0,25,BKOR,78105
5251,8/19/2021,0,4,BKOR,78105
5303,8/23/2021,2,26,BKOR,78105
5355,8/26/2021,0,5,BKOR,78105
5407,8/30/2021,0,24,BKOR,78105
5459,9/2/2021,0,6,BKOR,78105
5511,9/6/2021,0,25,BKOR,78105
5563,9/9/2021,2,7,BKOR,78105
5615,9/13/2021,0,26,BKOR,78105
5667,9/16/2021,0,5,BKOR,78105
5719,9/20/2021,1,27,BKOR,78105
5771,9/23/2021,1,6,BKOR,78105
5823,9/27/2021,0,26,BKOR,78105
5875,9/30/2021,0,5,BKOR,78105
5927,10/4/2021,0,27,BKOR,78105
5979,10/7/2021,0,6,BKOR,78105
6031,10/11/2021,0,28,BKOR,78105
6083,10/14/2021,2,7,BKOR,78105
6135,10/18/2021,0,29,BKOR,78105
6187,10/21/2021,0,5,BKOR,78105
6239,10/25/2021,1,30,BKOR,78105
6291,10/28/2021,1,6,BKOR,78105
6343,11/1/2021,0,29,BKOR,78105
6395,11/4/2021,1,5,BKOR,78105
6447,11/8/2021,1,30,BKOR,78105
6499,11/11/2021,0,4,BKOR,78105
